exercise_name,filepath,exercise_type,body_part,equipment,instructions
Cable Straight Leg Diagonal Kick,male/Cable-Straight-Leg-Diagonal-Kickback-(male)_Hips_.mp4,Strength,Hips,Cable,"Attach ankle strap to low cable | Stand sideways to machine, feet hip-width apart | Keep leg straight and kick diagonally across body | Return to starting position | Repeat for reps, then switch legs"
Lever Seated Leg Raise Crunch,male/Lever-Seated-Leg-Raise-Crunch-(plate-loaded)_Waist.mp4,Strength,Waist,Leverage machine,Sit on the machine with your back against the pad | Grip the handles and position your legs on the lever pads | Contract your abs to raise your knees toward your chest | Lower your legs back to the starting position
Barbell Wide Squat,female/Barbell-Wide-Squat-(female)_Thighs_.mp4,Strength,Thighs,Barbell,"Stand with feet wider than shoulder-width, barbell on upper back | Point toes slightly outward | Lower hips down, keeping chest up and knees tracking over toes | Descend until thighs are parallel to floor | Push through heels to return to standing"
Dumbbell Single Leg Squat,female/Dumbbell-Single-Leg-Squat-(VERSION-2)-(female)_Thighs.mp4,Strength,Thighs,Dumbbell,Stand on one leg holding dumbbells at your sides | Lower your body by bending your knee and hip | Keep your back straight and chest up | Push through your heel to return to standing
Dumbbell Fly On Exercise Ball,female/Dumbbell-Fly-on-Exercise-Ball-(female)_Chest.mp4,Strength,Chest,"Dumbbell, Stability ball","Sit on stability ball holding dumbbells | Walk feet forward and lie back so shoulders rest on ball | Extend arms above chest, palms facing each other | Lower arms out to sides with slight bend in elbows | Bring arms back together above chest"
Dumbbell Seated Kick,female/Dumbbell-Seated-Kickback-(female)_Upper-Arms.mp4,Strength,Thighs,Dumbbell,"Sit on a bench holding dumbbells at your sides | Keep your back straight and feet flat on the floor | Extend one leg forward, kicking out while holding the dumbbells | Lower your leg back down and repeat with the other leg"
Barbell Squat,female/Barbell-Squat---Hips-(WRONG-RIGHT)-(female)_.mp4,Strength,Thighs,Barbell,Stand with feet shoulder-width apart and barbell on upper back | Keep chest up and core tight | Lower hips until thighs are parallel to floor | Push through heels to return to standing
Band Cross Chest Biceps Curl,female/Band-Cross-Chest-Biceps-Curl-(female)_Upper-Arms_.mp4,Strength,Upper Arms,Resistance Band,Stand on the band with feet shoulder-width apart | Hold handles with opposite hands so the band crosses in front of your chest | Keep elbows close to your sides | Curl hands up toward shoulders | Lower back down slowly
Barbell Single Leg Split Squat,male/Barbell-Single-Leg-Split-Squat_Hips_.mp4,Strength,Thighs,Barbell,"Stand with one foot forward and one foot back, holding a barbell on your upper back | Lower your back knee toward the floor, keeping your front knee over your ankle | Push through your front heel to return to starting position | Repeat for reps, then switch legs"
Barbell Full Squat,male/Barbell-Full-Squat_Thighs-FIX_.mp4,Strength,Thighs,Barbell,Stand with feet shoulder-width apart and barbell on upper back | Keep chest up and core tight | Lower hips down and back until thighs are parallel to floor | Push through heels to return to standing position
Smith Incline Bench Press,female/Smith-Incline-Bench-Press-(female)_Chest_.mp4,Strength,Chest,Smith machine,Set bench to incline under Smith machine | Lie back and grip bar slightly wider than shoulders | Lower bar to upper chest | Press bar back up to starting position
